time_stamp,sex,height
9/2/14 13:40,Male,75
9/2/14 13:46,Male,70
9/2/14 13:59,Male,68
9/2/14 14:51,Male,74
9/2/14 15:16,Male,61
9/2/14 15:16,Female,65
9/2/14 15:16,Female,66
9/2/14 15:16,Female,62
9/2/14 15:16,Female,66
9/2/14 15:16,Male,67
9/2/14 15:16,Male,72
9/2/14 15:16,Male,"72"""
9/2/14 15:16,Male,69
9/2/14 15:16,Male,68
9/2/14 15:16,Male,69
9/2/14 15:16,Male,66
9/2/14 15:16,Male,75
9/2/14 15:16,Female,64
9/2/14 15:16,Female,60
9/2/14 15:16,Male,67
9/2/14 15:16,Male,66
9/2/14 15:16,Male,"64"""
9/2/14 15:16,Male,70
9/2/14 15:16,Male,73
9/2/14 15:16,Male,72
9/2/14 15:16,Male,69
9/2/14 15:16,Male,69
9/2/14 15:16,Male,72
9/2/14 15:16,Female,64
9/2/14 15:16,Male,72
9/2/14 15:16,Male,75
9/2/14 15:16,Male,71
9/2/14 15:16,Female,67
9/2/14 15:16,Female,66
9/2/14 15:16,Female,67
9/2/14 15:16,Male,69
9/2/14 15:16,Male,68
9/2/14 15:16,Female,66.75
9/2/14 15:16,Male,72
9/2/14 15:16,Female,63.6
9/2/14 15:16,Male,69
9/2/14 15:16,Male,68
9/2/14 15:16,Female,63
9/2/14 15:16,Male,60
9/2/14 15:16,Male,73
9/2/14 15:16,Male,74
9/2/14 15:16,Male,74
9/2/14 15:16,Male,66
9/2/14 15:16,Male,68
9/2/14 15:16,Male,73
9/2/14 15:16,Male,70
9/2/14 15:16,Male,68
9/2/14 15:16,Male,73
9/2/14 15:16,Male,70.5
9/2/14 15:16,Female,165cm
9/2/14 15:16,Male,71
9/2/14 15:16,Male,70
9/2/14 15:16,Male,67
9/2/14 15:16,Male,69
9/2/14 15:16,Male,67
9/2/14 15:16,Male,69
9/2/14 15:16,Male,73
9/2/14 15:16,Male,74
9/2/14 15:16,Male,70
9/2/14 15:16,Male,66
9/2/14 15:16,Male,68
9/2/14 15:16,Male,72
9/2/14 15:16,Female,65
9/2/14 15:16,Male,65
9/2/14 15:16,Male,70
9/2/14 15:16,Male,73
9/2/14 15:16,Male,67
9/2/14 15:16,Male,72
9/2/14 15:16,Male,68
9/2/14 15:16,Male,68
9/2/14 15:16,Female,65
9/2/14 15:16,Male,72
9/2/14 15:16,Male,71
9/2/14 15:16,Female,65
9/2/14 15:16,Female,72
9/2/14 15:16,Male,69
9/2/14 15:16,Male,70
9/2/14 15:16,Male,72
9/2/14 15:16,Male,71 inches
9/2/14 15:16,Female,62
9/2/14 15:16,Female,65
9/2/14 15:16,Male,seventy  inches
9/2/14 15:16,Male,60
9/2/14 15:16,Male,67
9/2/14 15:16,Female,62
9/2/14 15:16,Male,71
9/2/14 15:16,Female,63
9/2/14 15:16,Male,68
9/2/14 15:16,Female,64.1732
9/2/14 15:16,Female,64
9/2/14 15:16,Male,71
9/2/14 15:16,Male,68.5
9/2/14 15:16,Female,62
9/2/14 15:16,Female,Sixty two inches
9/2/14 15:16,Male,70
